group_column,group_value,model,attack_rows,true_positive,false_negative,recall,false_negative_rate
attack_type,From-Botnet-V54-TCP-CC16-HTTP-Not-Encrypted,xgboost,4,2,2,0.5,0.5
attack_type,From-Botnet-V54-TCP-CC16-HTTP-Not-Encrypted,xgboost_gru,4,2,2,0.5,0.5
attack_type,From-Botnet-V44-UDP-Attempt,gru,3,3,0,1.0,0.0
attack_type,From-Botnet-V44-UDP-Attempt,xgboost,3,0,3,0.0,1.0
attack_type,From-Botnet-V44-UDP-Attempt,xgboost_gru,3,3,0,1.0,0.0
attack_type,From-Botnet-V50-5-TCP-CC16-HTTP-Not-Encrypted,gru,3,3,0,1.0,0.0
attack_type,From-Botnet-V50-5-TCP-CC16-HTTP-Not-Encrypted,xgboost,3,3,0,1.0,0.0
attack_type,From-Botnet-V50-5-TCP-CC16-HTTP-Not-Encrypted,xgboost_gru,3,3,0,1.0,0.0
attack_type,From-Botnet-V51-9-UDP-DNS,gru,3,2,1,0.6666666666666666,0.3333333333333333
attack_type,From-Botnet-V51-9-UDP-DNS,xgboost,3,2,1,0.6666666666666666,0.3333333333333333
attack_type,From-Botnet-V51-9-UDP-DNS,xgboost_gru,3,3,0,1.0,0.0
attack_type,From-Botnet-V54-TCP-Established-HTTP-Ad-21,gru,3,3,0,1.0,0.0
attack_type,From-Botnet-V54-TCP-Established-HTTP-Ad-21,xgboost,3,0,3,0.0,1.0
attack_type,From-Botnet-V54-TCP-Established-HTTP-Ad-21,xgboost_gru,3,3,0,1.0,0.0
attack_type,From-Botnet-V44-ICMP,gru,2,1,1,0.5,0.5
attack_type,From-Botnet-V44-ICMP,xgboost,2,0,2,0.0,1.0
attack_type,From-Botnet-V44-ICMP,xgboost_gru,2,1,1,0.5,0.5
attack_type,From-Botnet-V48-TCP-CC108-Plain-HTTP,gru,2,0,2,0.0,1.0
attack_type,From-Botnet-V48-TCP-CC108-Plain-HTTP,xgboost,2,0,2,0.0,1.0
attack_type,From-Botnet-V48-TCP-CC108-Plain-HTTP,xgboost_gru,2,0,2,0.0,1.0
attack_type,From-Botnet-V48-UDP-DNS,gru,2,0,2,0.0,1.0
attack_type,From-Botnet-V48-UDP-DNS,xgboost,2,0,2,0.0,1.0
attack_type,From-Botnet-V48-UDP-DNS,xgboost_gru,2,0,2,0.0,1.0
